Access_Category_ID,Access_Name,Access_Description,Customer_ID,Page_Viewed,Visit_Duration,Entry_Page,Exit_Page,Referrer,Access_Date,Device_Type,Browser_Type
25,Account Page,Managing user account settings,40,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-01-25,Desktop,Chrome
26,Homepage,Visiting the homepage for general information,42,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-01-26,Mobile,Safari
27,Product Page,Viewing specific product details,44,3,60,"https://www.abcmanufacturing.com/products/home-appliances","https://www.abcmanufacturing.com/products/home-appliances/3","Search Engine",2024-01-27,Desktop,Firefox
28,Checkout,Proceeding to checkout for purchase,46,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-01-28,Tablet,Chrome
29,Support Page,Seeking customer support information,48,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-01-29,Desktop,Edge
30,Account Page,Managing user account settings,50,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-01-30,Mobile,Safari
31,Homepage,Visiting the homepage for general information,52,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-01-31,Desktop,Chrome
32,Product Page,Viewing specific product details,54,3,60,"https://www.abcmanufacturing.com/products/smartphones","https://www.abcmanufacturing.com/products/smartphones/2","Search Engine",2024-02-01,Mobile,Safari
33,Checkout,Proceeding to checkout for purchase,56,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-02-02,Desktop,Firefox
34,Support Page,Seeking customer support information,58,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-02-03,Tablet,Chrome
35,Account Page,Managing user account settings,60,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-02-04,Desktop,Edge
36,Homepage,Visiting the homepage for general information,62,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-02-05,Mobile,Safari
37,Product Page,Viewing specific product details,64,3,60,"https://www.abcmanufacturing.com/products/smart-home","https://www.abcmanufacturing.com/products/smart-home/4","Search Engine",2024-02-06,Desktop,Chrome
38,Checkout,Proceeding to checkout for purchase,66,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-02-07,Mobile,Safari
39,Support Page,Seeking customer support information,68,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-02-08,Desktop,Firefox
40,Account Page,Managing user account settings,70,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-02-09,Tablet,Chrome
41,Homepage,Visiting the homepage for general information,72,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-02-10,Desktop,Edge
42,Product Page,Viewing specific product details,74,3,60,"https://www.abcmanufacturing.com/products/electronics","https://www.abcmanufacturing.com/products/electronics/1","Search Engine",2024-02-11,Mobile,Safari
43,Checkout,Proceeding to checkout for purchase,76,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-02-12,Desktop,Chrome
44,Support Page,Seeking customer support information,78,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-02-13,Mobile,Safari
45,Account Page,Managing user account settings,80,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-02-14,Desktop,Firefox
46,Homepage,Visiting the homepage for general information,82,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-02-15,Mobile,Safari
47,Product Page,Viewing specific product details,84,3,60,"https://www.abcmanufacturing.com/products/home-appliances","https://www.abcmanufacturing.com/products/home-appliances/3","Search Engine",2024-02-16,Desktop,Chrome
48,Checkout,Proceeding to checkout for purchase,86,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-02-17,Tablet,Safari
49,Support Page,Seeking customer support information,88,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-02-18,Desktop,Firefox
50,Account Page,Managing user account settings,90,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-02-19,Mobile,Chrome
51,Homepage,Visiting the homepage for general information,92,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-02-20,Desktop,Edge
52,Product Page,Viewing specific product details,94,3,60,"https://www.abcmanufacturing.com/products/smartphones","https://www.abcmanufacturing.com/products/smartphones/2","Search Engine",2024-02-21,Mobile,Safari
53,Checkout,Proceeding to checkout for purchase,96,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-02-22,Desktop,Chrome
54,Support Page,Seeking customer support information,98,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-02-23,Tablet,Safari
55,Account Page,Managing user account settings,100,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-02-24,Desktop,Firefox
56,Homepage,Visiting the homepage for general information,102,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-02-25,Mobile,Chrome
57,Product Page,Viewing specific product details,104,3,60,"https://www.abcmanufacturing.com/products/smart-home","https://www.abcmanufacturing.com/products/smart-home/4","Search Engine",2024-02-26,Desktop,Safari
58,Checkout,Proceeding to checkout for purchase,106,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-02-27,Mobile,Edge
59,Support Page,Seeking customer support information,108,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-02-28,Desktop,Chrome
60,Account Page,Managing user account settings,110,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-02-29,Tablet,Firefox
61,Homepage,Visiting the homepage for general information,112,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-03-01,Desktop,Safari
62,Product Page,Viewing specific product details,114,3,60,"https://www.abcmanufacturing.com/products/electronics","https://www.abcmanufacturing.com/products/electronics/1","Search Engine",2024-03-02,Mobile,Edge
63,Checkout,Proceeding to checkout for purchase,116,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-03-03,Desktop,Chrome
64,Support Page,Seeking customer support information,118,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-03-04,Mobile,Safari
65,Account Page,Managing user account settings,120,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-03-05,Desktop,Firefox
66,Homepage,Visiting the homepage for general information,122,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-03-06,Tablet,Chrome
67,Product Page,Viewing specific product details,124,3,60,"https://www.abcmanufacturing.com/products/home-appliances","https://www.abcmanufacturing.com/products/home-appliances/3","Search Engine",2024-03-07,Desktop,Safari
68,Checkout,Proceeding to checkout for purchase,126,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-03-08,Mobile,Edge
69,Support Page,Seeking customer support information,128,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-03-09,Desktop,Chrome
70,Account Page,Managing user account settings,130,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-03-10,Mobile,Safari
71,Homepage,Visiting the homepage for general information,132,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-03-11,Desktop,Firefox
72,Product Page,Viewing specific product details,134,3,60,"https://www.abcmanufacturing.com/products/smartphones","https://www.abcmanufacturing.com/products/smartphones/2","Search Engine",2024-03-12,Tablet,Chrome
73,Checkout,Proceeding to checkout for purchase,136,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-03-13,Desktop,Edge
74,Support Page,Seeking customer support information,138,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-03-14,Mobile,Safari
75,Account Page,Managing user account settings,140,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-03-15,Desktop,Chrome
76,Homepage,Visiting the homepage for general information,142,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-03-16,Mobile,Safari
77,Product Page,Viewing specific product details,144,3,60,"https://www.abcmanufacturing.com/products/smart-home","https://www.abcmanufacturing.com/products/smart-home/4","Search Engine",2024-03-17,Desktop,Firefox
78,Checkout,Proceeding to checkout for purchase,146,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-03-18,Tablet,Chrome
79,Support Page,Seeking customer support information,148,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-03-19,Desktop,Edge
80,Account Page,Managing user account settings,150,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-03-20,Mobile,Safari
81,Homepage,Visiting the homepage for general information,152,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-03-21,Desktop,Chrome
82,Product Page,Viewing specific product details,154,3,60,"https://www.abcmanufacturing.com/products/electronics","https://www.abcmanufacturing.com/products/electronics/1","Search Engine",2024-03-22,Mobile,Firefox
83,Checkout,Proceeding to checkout for purchase,156,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-03-23,Desktop,Safari
84,Support Page,Seeking customer support information,158,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-03-24,Tablet,Chrome
85,Account Page,Managing user account settings,160,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-03-25,Desktop,Edge
86,Homepage,Visiting the homepage for general information,162,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-03-26,Mobile,Safari
87,Product Page,Viewing specific product details,164,3,60,"https://www.abcmanufacturing.com/products/home-appliances","https://www.abcmanufacturing.com/products/home-appliances/3","Search Engine",2024-03-27,Desktop,Firefox
88,Checkout,Proceeding to checkout for purchase,166,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-03-28,Mobile,Chrome
89,Support Page,Seeking customer support information,168,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-03-29,Desktop,Safari
90,Account Page,Managing user account settings,170,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-03-30,Tablet,Edge
91,Homepage,Visiting the homepage for general information,172,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-03-31,Desktop,Chrome
92,Product Page,Viewing specific product details,174,3,60,"https://www.abcmanufacturing.com/products/smartphones","https://www.abcmanufacturing.com/products/smartphones/2","Search Engine",2024-04-01,Mobile,Firefox
93,Checkout,Proceeding to checkout for purchase,176,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-04-02,Desktop,Safari
94,Support Page,Seeking customer support information,178,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-04-03,Tablet,Chrome
95,Account Page,Managing user account settings,180,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-04-04,Desktop,Edge
96,Homepage,Visiting the homepage for general information,182,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-04-05,Mobile,Safari
97,Product Page,Viewing specific product details,184,3,60,"https://www.abcmanufacturing.com/products/smart-home","https://www.abcmanufacturing.com/products/smart-home/4","Search Engine",2024-04-06,Desktop,Firefox
98,Checkout,Proceeding to checkout for purchase,186,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-04-07,Mobile,Chrome
99,Support Page,Seeking customer support information,188,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-04-08,Desktop,Safari
100,Account Page,Managing user account settings,190,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-04-09,Tablet,Edge
101,Homepage,Visiting the homepage for general information,192,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-04-10,Desktop,Chrome
102,Product Page,Viewing specific product details,194,3,60,"https://www.abcmanufacturing.com/products/electronics","https://www.abcmanufacturing.com/products/electronics/1","Search Engine",2024-04-11,Mobile,Safari
103,Checkout,Proceeding to checkout for purchase,196,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-04-12,Desktop,Firefox
104,Support Page,Seeking customer support information,198,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-04-13,Mobile,Chrome
105,Account Page,Managing user account settings,200,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-04-14,Tablet,Safari
106,Homepage,Visiting the homepage for general information,202,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-04-15,Desktop,Edge
107,Product Page,Viewing specific product details,204,3,60,"https://www.abcmanufacturing.com/products/home-appliances","https://www.abcmanufacturing.com/products/home-appliances/3","Search Engine",2024-04-16,Mobile,Safari
108,Checkout,Proceeding to checkout for purchase,206,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-04-17,Desktop,Chrome
109,Support Page,Seeking customer support information,208,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-04-18,Tablet,Safari
110,Account Page,Managing user account settings,210,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-04-19,Desktop,Firefox
111,Homepage,Visiting the homepage for general information,212,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-04-20,Mobile,Chrome
112,Product Page,Viewing specific product details,214,3,60,"https://www.abcmanufacturing.com/products/smartphones","https://www.abcmanufacturing.com/products/smartphones/2","Search Engine",2024-04-21,Desktop,Safari
113,Checkout,Proceeding to checkout for purchase,216,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-04-22,Mobile,Edge
114,Support Page,Seeking customer support information,218,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-04-23,Desktop,Chrome
115,Account Page,Managing user account settings,220,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-04-24,Tablet,Safari
116,Homepage,Visiting the homepage for general information,222,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-04-25,Desktop,Edge
117,Product Page,Viewing specific product details,224,3,60,"https://www.abcmanufacturing.com/products/electronics","https://www.abcmanufacturing.com/products/electronics/1","Search Engine",2024-04-26,Mobile,Firefox
118,Checkout,Proceeding to checkout for purchase,226,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-04-27,Desktop,Safari
119,Support Page,Seeking customer support information,228,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-04-28,Tablet,Chrome
120,Account Page,Managing user account settings,230,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-04-29,Desktop,Firefox
121,Homepage,Visiting the homepage for general information,232,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-04-30,Mobile,Safari
122,Product Page,Viewing specific product details,234,3,60,"https://www.abcmanufacturing.com/products/smart-home","https://www.abcmanufacturing.com/products/smart-home/4","Search Engine",2024-05-01,Desktop,Edge
123,Checkout,Proceeding to checkout for purchase,236,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-05-02,Mobile,Chrome
124,Support Page,Seeking customer support information,238,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-05-03,Desktop,Safari
125,Account Page,Managing user account settings,240,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-05-04,Tablet,Chrome
126,Homepage,Visiting the homepage for general information,242,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-05-05,Desktop,Firefox
127,Product Page,Viewing specific product details,244,3,60,"https://www.abcmanufacturing.com/products/smartphones","https://www.abcmanufacturing.com/products/smartphones/2","Search Engine",2024-05-06,Mobile,Safari
128,Checkout,Proceeding to checkout for purchase,246,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-05-07,Desktop,Edge
129,Support Page,Seeking customer support information,248,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-05-08,Tablet,Chrome
130,Account Page,Managing user account settings,250,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-05-09,Desktop,Safari
131,Homepage,Visiting the homepage for general information,252,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-05-10,Mobile,Edge
132,Product Page,Viewing specific product details,254,3,60,"https://www.abcmanufacturing.com/products/electronics","https://www.abcmanufacturing.com/products/electronics/1","Search Engine",2024-05-11,Desktop,Chrome
133,Checkout,Proceeding to checkout for purchase,256,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-05-12,Mobile,Firefox
134,Support Page,Seeking customer support information,258,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-05-13,Desktop,Safari
135,Account Page,Managing user account settings,260,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-05-14,Tablet,Chrome
136,Homepage,Visiting the homepage for general information,262,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-05-15,Desktop,Edge
137,Product Page,Viewing specific product details,264,3,60,"https://www.abcmanufacturing.com/products/home-appliances","https://www.abcmanufacturing.com/products/home-appliances/3","Search Engine",2024-05-16,Mobile,Safari
138,Checkout,Proceeding to checkout for purchase,266,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-05-17,Desktop,Chrome
139,Support Page,Seeking customer support information,268,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-05-18,Tablet,Safari
140,Account Page,Managing user account settings,270,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-05-19,Desktop,Firefox
141,Homepage,Visiting the homepage for general information,272,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-05-20,Mobile,Safari
142,Product Page,Viewing specific product details,274,3,60,"https://www.abcmanufacturing.com/products/smart-home","https://www.abcmanufacturing.com/products/smart-home/4","Search Engine",2024-05-21,Desktop,Edge
143,Checkout,Proceeding to checkout for purchase,276,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-05-22,Mobile,Chrome
144,Support Page,Seeking customer support information,278,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-05-23,Desktop,Safari
145,Account Page,Managing user account settings,280,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-05-24,Tablet,Chrome
146,Homepage,Visiting the homepage for general information,282,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-05-25,Desktop,Firefox
147,Product Page,Viewing specific product details,284,3,60,"https://www.abcmanufacturing.com/products/smartphones","https://www.abcmanufacturing.com/products/smartphones/2","Search Engine",2024-05-26,Mobile,Safari
148,Checkout,Proceeding to checkout for purchase,286,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-05-27,Desktop,Edge
149,Support Page,Seeking customer support information,288,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-05-28,Tablet,Chrome
150,Account Page,Managing user account settings,290,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-05-29,Desktop,Safari
151,Homepage,Visiting the homepage for general information,292,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-05-30,Mobile,Edge
152,Product Page,Viewing specific product details,294,3,60,"https://www.abcmanufacturing.com/products/electronics","https://www.abcmanufacturing.com/products/electronics/1","Search Engine",2024-05-31,Desktop,Chrome
153,Checkout,Proceeding to checkout for purchase,296,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-06-01,Mobile,Firefox
154,Support Page,Seeking customer support information,298,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-06-02,Desktop,Safari
155,Account Page,Managing user account settings,300,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-06-03,Tablet,Chrome
156,Homepage,Visiting the homepage for general information,302,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-06-04,Desktop,Firefox
157,Product Page,Viewing specific product details,304,3,60,"https://www.abcmanufacturing.com/products/home-appliances","https://www.abcmanufacturing.com/products/home-appliances/3","Search Engine",2024-06-05,Mobile,Safari
158,Checkout,Proceeding to checkout for purchase,306,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-06-06,Desktop,Edge
159,Support Page,Seeking customer support information,308,2,30,"https://www.abcmanufacturing.com/support","https://www.abcmanufacturing.com/support/faq","Direct",2024-06-07,Tablet,Safari
160,Account Page,Managing user account settings,310,4,90,"https://www.abcmanufacturing.com/account","https://www.abcmanufacturing.com/account/settings","Email Campaign",2024-06-08,Desktop,Chrome
161,Homepage,Visiting the homepage for general information,312,5,120,"https://www.abcmanufacturing.com/home","https://www.abcmanufacturing.com/products","Direct",2024-06-09,Mobile,Safari
162,Product Page,Viewing specific product details,314,3,60,"https://www.abcmanufacturing.com/products/smart-home","https://www.abcmanufacturing.com/products/smart-home/4","Search Engine",2024-06-10,Desktop,Edge
163,Checkout,Proceeding to checkout for purchase,316,1,10,"https://www.abcmanufacturing.com/checkout","https://www.abcmanufacturing.com/confirmation","Social Media",2024-06-11,Mobile,Chrome
